frame_id,player_id,joint_0_x_m,joint_0_y_m,joint_0_z_m,joint_1_x_m,joint_1_y_m,joint_1_z_m,joint_2_x_m,joint_2_y_m,joint_2_z_m,joint_3_x_m,joint_3_y_m,joint_3_z_m,joint_4_x_m,joint_4_y_m,joint_4_z_m,joint_5_x_m,joint_5_y_m,joint_5_z_m,joint_6_x_m,joint_6_y_m,joint_6_z_m,joint_7_x_m,joint_7_y_m,joint_7_z_m,joint_8_x_m,joint_8_y_m,joint_8_z_m,joint_9_x_m,joint_9_y_m,joint_9_z_m,joint_10_x_m,joint_10_y_m,joint_10_z_m,joint_11_x_m,joint_11_y_m,joint_11_z_m,joint_12_x_m,joint_12_y_m,joint_12_z_m,joint_13_x_m,joint_13_y_m,joint_13_z_m,joint_14_x_m,joint_14_y_m,joint_14_z_m,joint_15_x_m,joint_15_y_m,joint_15_z_m,joint_16_x_m,joint_16_y_m,joint_16_z_m
1,player_0,3.987874,10.017634,0.030646037,3.984457,10.038211,0.036595196,3.9866276,10.068037,0.013599604,4.010397,10.064547,0.03986445,3.9417467,10.093962,-0.022393785,3.9387202,9.944154,0.013635602,3.9732325,10.0132475,-0.0040799417,3.9964147,10.002166,0.04885321,4.009539,10.049969,0.034465782,4.0139136,10.067433,0.012287702,4.0302887,9.965875,0.033016417,4.0131664,10.0201,0.11154099,3.9420588,10.082905,0.03142958,4.0001755,10.061239,0.047561474,3.9825485,10.115158,0.099626124,4.0204153,9.988569,0.053456716,3.971868,10.0124235,0.026543284
1,player_1,2.7910705,2.7394528,-0.040692657,2.8383179,2.8465128,-0.05088059,2.7602663,2.9815767,-0.05325856,2.9383929,3.0100632,0.004182931,2.4673722,3.391626,-0.2972116,2.2939317,2.3549778,-0.12696686,2.727797,2.9650145,-0.35230005,2.9672353,2.7709303,-0.05168484,2.7924743,3.1750839,-0.20305707,2.9211028,3.1586041,-0.17243895,3.2673707,2.4396486,0.049752936,2.978092,2.9295492,0.5099116,2.553086,3.1712396,-0.041536786,2.9469593,2.9968581,-0.05858878,2.7856266,3.389295,0.4555651,3.1309028,2.71289,0.29435557,2.7046733,2.70558,-0.21435557
2,player_0,3.9459455,9.918501,0.0024068207,3.9474437,9.973493,0.02648697,3.935852,10.074143,-0.056076184,4.0257416,10.071071,0.035479285,3.7829397,10.174309,-0.1794506,3.7760742,9.652546,-0.050232857,3.9065416,9.882094,-0.116225675,3.9776597,9.8667345,0.060802463,4.022682,10.021941,0.0143655315,4.032695,10.066547,-0.04911945,4.099338,9.728,0.0067355335,4.0231276,9.9217005,0.27860767,3.7876303,10.133887,0.0070008375,3.9995537,10.057796,0.05304964,3.9342027,10.238254,0.24390186,4.0547643,9.808239,0.07995984,3.8934448,9.8901825,4.015863e-05
2,player_1,2.7931216,2.714461,-0.042539664,2.8348606,2.826964,-0.05962853,2.7577975,2.9585834,-0.05210153,2.943083,2.9835768,0.006362997,2.4621663,3.3708496,-0.30805254,2.279956,2.3164577,-0.12893642,2.7179894,2.9399364,-0.3585156,2.9711406,2.7483213,-0.056529686,2.790455,3.1575444,-0.20194006,2.9240136,3.1376462,-0.1704169,3.2748122,2.40281,0.04841567,2.975816,2.9031153,0.5186004,2.5443635,3.1497438,-0.046261117,2.9452908,2.9715455,-0.055062614,2.7856956,3.3772898,0.46439552,3.1372163,2.6875153,0.30112892,2.7045212,2.6738133,-0.22112891
3,player_0,3.9459455,9.918501,0.0024068207,3.9474437,9.973493,0.02648697,3.935852,10.074143,-0.056076184,4.0257416,10.071071,0.035479285,3.7829397,10.174309,-0.1794506,3.7760742,9.652546,-0.050232857,3.9065416,9.882094,-0.116225675,3.9776597,9.8667345,0.060802463,4.022682,10.021941,0.0143655315,4.032695,10.066547,-0.04911945,4.099338,9.728,0.0067355335,4.0231276,9.9217005,0.27860767,3.7876303,10.133887,0.0070008375,3.9995537,10.057796,0.05304964,3.9342027,10.238254,0.24390186,4.0547643,9.808239,0.07995984,3.8934448,9.8901825,4.015863e-05
3,player_1,2.7913523,2.7149568,-0.04252395,2.8337224,2.8315303,-0.06083247,2.755217,2.9648924,-0.053597793,2.9446323,2.9915044,0.004878357,2.4541068,3.3859441,-0.31513816,2.2653513,2.3079746,-0.1328688,2.7141047,2.945354,-0.36647516,2.9733145,2.7497866,-0.058360547,2.7877607,3.165014,-0.20783558,2.9233713,3.147026,-0.17562313,3.2822642,2.3971994,0.049538497,2.9790392,2.9073043,0.52933186,2.5356576,3.1582785,-0.047326565,2.9470212,2.9770758,-0.058133632,2.7826788,3.3934634,0.47363392,3.1423814,2.6868973,0.3088299,2.6990654,2.6716564,-0.22882992
4,player_0,3.8520002,9.870516,-0.05257678,3.8912194,10.005875,0.0043263137,3.8168254,10.321702,-0.24541564,4.0820475,10.331976,0.06364821,3.3416026,10.678352,-0.6334382,3.3498592,9.050828,-0.19006671,3.7731476,9.72113,-0.42171556,3.931759,9.68969,0.11738037,4.091172,10.17441,-0.048658922,4.1386805,10.285678,-0.22364272,4.3347964,9.249481,-0.075885594,4.0352807,9.856816,0.7811446,3.3892934,10.560343,-0.072959706,4.061589,10.295948,0.080259636,3.825402,10.8211,0.67257696,4.1568274,9.495883,0.13221557,3.7240138,9.776689,-0.052215576
4,player_1,2.8155935,2.743945,-0.02784904,2.8306346,2.8442068,-0.05127565,2.7732775,2.9594069,-0.047003224,2.953014,2.987666,0.015710171,2.5045636,3.328381,-0.28405595,2.321971,2.3555737,-0.112615615,2.721732,2.9410188,-0.3268112,2.9807606,2.7707276,-0.052011505,2.811053,3.1440573,-0.16986299,2.928908,3.1228335,-0.15331511,3.2521048,2.434356,0.05832806,2.9842846,2.9123392,0.49186286,2.57365,3.1308925,-0.04077398,2.9380786,2.9704268,-0.033237517,2.8025017,3.3551645,0.42580932,3.1227,2.7076476,0.28987843,2.724356,2.6949482,-0.20987844
5,player_0,3.7651594,9.883853,-0.18942127,3.8960257,10.053671,-0.09265448,3.7209458,10.487418,-0.44317487,4.056281,10.503695,0.043883123,3.022567,11.052092,-0.9453014,3.0891469,8.7314205,-0.32307974,3.6509423,9.641235,-0.6933583,3.9336567,9.608341,0.091257244,4.1061378,10.346955,-0.14646485,4.16586,10.424868,-0.37733153,4.491815,8.935297,-0.1972472,3.9656274,9.828263,1.0556372,3.1022196,10.886309,-0.24578175,4.174906,10.499065,0.049871728,3.777239,11.18634,0.92250156,4.198223,9.342768,0.17696925,3.6577997,9.740751,-0.09696923
5,player_1,2.830049,2.756629,-0.011969216,2.8311014,2.8496666,-0.039800398,2.7850356,2.9500203,-0.038214356,2.956487,2.9811015,0.026379682,2.5323343,3.2941275,-0.26417476,2.3562095,2.3770716,-0.09641417,2.7232456,2.9341488,-0.30080968,2.984976,2.7721508,-0.04573965,2.824836,3.1227264,-0.14607286,2.936349,3.1020153,-0.14072272,3.2371817,2.4427614,0.063447736,2.9837108,2.9065638,0.476422,2.5924795,3.1122503,-0.036216125,2.92631,2.9591124,-0.014755726,2.8125277,3.3340912,0.39633286,3.1123805,2.7121346,0.28205246,2.735307,2.6997163,-0.20205247
